competitor,ad_text,format,first_seen
lululemon,"lululemon Women's Tank Tops - lululemon Tank Tops For Women. Our Tank-Tops Were Made To Run In, Train In, Flow In, And Relax In. Some That Do It All. Sweat-Wicking, Breathable, Anti-Stink.",Search,2026-08-12
lululemon,"lululemon Official Site - lululemon Women's Clothing. You're This Close To Versatile Shorts That Look As Good As They Feel. In Shorts This Lightweight.",Search,2026-08-12
lululemon,"Leggings Fit For Every Move - lululemon Official Site. Make Better Leggings Your Base. Then Style And Move The Way You Want In Total Comfort.",Search,2026-08-12
lululemon,"lululemon Official Site. Stores Globally. We Made Too Much. Like New Resale Program.",Search,2026-08-12
Nike,"Womens Dri-FIT Running Shorts. Nike.com. Shop The Official Nike Store For The Latest Nike Shoes, Apparel and Gear. Live Support Available. Styles: Shoes, Clothing, Accessories, Sport. Rating 4.7 from 6,660 reviews. Average delivery time 1-3 days.",Search,2026-08-12
Nike,"Womens Golf Shoes. Nike.com. Shop Womens Golf Shoes Designed With Comfort, Style and Performance In Mind. Gear Up For Sport And Style With Nike Products Designed For Performance And Comfort. Live Support Available.",Search,2026-08-12
Nike,"Golf Gloves and Mitts. Nike.com. Shop The Official Nike Store For The Latest Nike Shoes, Apparel and Gear. Gear Up For Sport And Style With Nike Products Designed For Performance And Comfort.",Search,2026-08-12
Nike,"Soccer Jerseys. Nike.com. Gear Up For Soccer. Get Everything You Need For Your Best Season Ever. Shop The Latest Soccer Gear For A Fresh Start On The Field. Start Back Strong. Live Support Available. Models: Air Force 1, VaporMax, Air Max, Pegasus, Joyride, Vaporfly, React.",Search,2026-08-12
Alo Yoga,"Denim Knit Mini Dress - Black/Anthracite. Crafted from soft, structured, ribbed-knit fabric inspired by the nuanced texture of denim, this mini dress takes your going-out looks to great lengths. Rating 4.5 from 21,131 reviews. Most items returnable 30+ days.",Search,2026-08-12
Alo Yoga,"ALO Official Site - Performance Ready Activewear. Go from studio to street. ALO men's shorts deliver buttery-soft comfort and an active fit. Celeb-approved training shorts, trending for dynamic, empowered movement.",Search,2026-08-12
Alo Yoga,"ALO. Clothing store. Open now. Call or get Directions. Rating 3.1 from 35 reviews.",Local,2026-08-12
Vuori,"Shop Vuori Performance Gear - Vuori Clothing. A New Perspective on Performance Apparel. An Integration Of Fitness, Surf and Sport. Premium Performance Apparel, Without Sacrificing Comfort.",Search,2026-08-12
Vuori,"Women's Sweatpants - Your New Favorite Sweatpants. Achieve Maximum Comfort With Vuori Sweatpants. You'll Never Want To Take Them Off. Designed For Style, Comfort and Performance. Free Shipping.",Search,2026-08-12
Vuori,"Vuori Clothing - Official Site. A New Perspective On Performance Apparel. Free Shipping On Orders $75+. Shop Men's And Women's Performance Apparel. Built To Move In. Styled For Life.",Search,2026-08-12
Vuori,"Vuori Clothing - Comfort For Your Active Life. A New Perspective On Performance Apparel. Free Shipping On Orders $75+. Shop Men's And Women's Performance Apparel. Built To Move In. Styled For Life.",Search,2026-08-12
On,"On Official Store - Free Shipping. 30-day Returns. Runners that want to double up on cushioning and support without slowing down. Maximum cushioning.",Search,2026-08-12
On,"On's Waterproof Collection - Discover Our Waterproof Shoes. Element-proof Swiss-engineering. Shelter from the storm. Get rain ready. Seasons change. Trainings shouldn't. Master the elements with our waterproof gear. Wet weather gear: high-tech jackets, shoes and accessories to beat the elements. All-day sneakers: unbeatable comfort for the city, travel or everyday exploring.",Search,2026-08-12
On,"Cloudboom Strike 2 LS - Run On Clouds - On Official Store. The pinnacle marathon racing shoe for fast-feeling comfort. Updated LightSpray upper for a seamless, adaptive fit. Limited editions.",Search,2026-08-12
On,"On Official Store - Free Shipping. Updated shape, structure and volume for superior comfort, cushioning and stability.",Search,2026-08-12
Under Armour,"Zero Gravity Feel - 30-50% Off Sitewide. Energy Return That Helps Eliminate Impact Step After Step. Shop The UA HOVR Collection, The Perfect Balance Between Sport and Style. Rating 4.7 from 305 reviews. UA HOVR Cushioning: connected technology and revolutionary cushioning designed by those who know. UA HOVR Infinite 2: more coaching, more miles, go further and faster. Too Comfy To Be Slowed Down.",Search,2026-08-12
